Split,Model,Accuracy,Precision,Recall,F1-score
train_80_test_20,RandomForest,0.9411764705882353,0.9473684210526315,0.9411764705882353,0.9409722222222222
train_80_test_20,GradientBoosting,0.9705882352941176,0.9722222222222223,0.9705882352941176,0.9705627705627705
train_80_test_20,AdaBoost,0.9411764705882353,0.9473684210526315,0.9411764705882353,0.9409722222222222
train_80_test_20,SVM,0.9411764705882353,0.9473684210526315,0.9411764705882353,0.9409722222222222
train_80_test_20,LogisticRegression,0.9411764705882353,0.9473684210526315,0.9411764705882353,0.9409722222222222
train_80_test_20,KNN,0.9411764705882353,0.9473684210526315,0.9411764705882353,0.9409722222222222
train_80_test_20,NaiveBayes,0.9117647058823529,0.9131944444444444,0.9117647058823529,0.9116883116883117
train_80_test_20,DecisionTree,0.9705882352941176,0.9722222222222223,0.9705882352941176,0.9705627705627705
train_70_test_30,RandomForest,0.9607843137254902,0.9635854341736694,0.9607843137254902,0.9606935366739288
train_70_test_30,GradientBoosting,0.9803921568627451,0.981118373275236,0.9803921568627451,0.9803770564829705
train_70_test_30,AdaBoost,0.9607843137254902,0.9635854341736694,0.9607843137254902,0.9606935366739288
train_70_test_30,SVM,0.9607843137254902,0.9635854341736694,0.9607843137254902,0.9606935366739288
train_70_test_30,LogisticRegression,0.9607843137254902,0.9635854341736694,0.9607843137254902,0.9606935366739288
train_70_test_30,KNN,0.9607843137254902,0.9635854341736694,0.9607843137254902,0.9606935366739288
train_70_test_30,NaiveBayes,0.9411764705882353,0.9418119099491647,0.9411764705882353,0.9411311694489117
train_70_test_30,DecisionTree,0.9803921568627451,0.981118373275236,0.9803921568627451,0.9803770564829705
train_60_test_40,RandomForest,0.9705882352941176,0.9722222222222223,0.9705882352941176,0.9705627705627705
train_60_test_40,GradientBoosting,0.9558823529411765,0.9562770562770562,0.9558823529411765,0.9558728098637249
train_60_test_40,AdaBoost,0.9705882352941176,0.9722222222222223,0.9705882352941176,0.9705627705627705
train_60_test_40,SVM,0.9705882352941176,0.9722222222222223,0.9705882352941176,0.9705627705627705
train_60_test_40,LogisticRegression,0.9705882352941176,0.9722222222222223,0.9705882352941176,0.9705627705627705
train_60_test_40,KNN,0.9705882352941176,0.9722222222222223,0.9705882352941176,0.9705627705627705
train_60_test_40,NaiveBayes,0.9558823529411765,0.9562770562770562,0.9558823529411765,0.9558728098637249
train_60_test_40,DecisionTree,0.9558823529411765,0.9562770562770562,0.9558823529411765,0.9558728098637249
train_50_test_50,RandomForest,0.9764705882352941,0.977516339869281,0.9764705882352941,0.9764510238685274
train_50_test_50,GradientBoosting,0.9647058823529412,0.964953697665319,0.9647058823529412,0.9646961069429849
train_50_test_50,AdaBoost,0.9764705882352941,0.977516339869281,0.9764705882352941,0.9764510238685274
train_50_test_50,SVM,0.9764705882352941,0.977516339869281,0.9764705882352941,0.9764510238685274
train_50_test_50,LogisticRegression,0.9764705882352941,0.977516339869281,0.9764705882352941,0.9764510238685274
train_50_test_50,KNN,0.9764705882352941,0.977516339869281,0.9764705882352941,0.9764510238685274
train_50_test_50,NaiveBayes,0.9647058823529412,0.964953697665319,0.9647058823529412,0.9646961069429849
train_50_test_50,DecisionTree,0.9647058823529412,0.964953697665319,0.9647058823529412,0.9646961069429849
